[00:07 - 00:15]  Крахмал, гликоген, целлюлоза.
[16:33 - 16:42]  Смотрите, еще раз, я вам не зря сказала, второе название белок будет полипептид все-таки, то есть множество пептидных связей.
[16:42 - 16:52]  А вот если молекулу белка взять и порезать по кусочкам, будет короткая последовательность, пептид будет, да, пусть хотя бы одна пептидная связь будет.
[16:53 - 17:03]  Вот эти вот как раз короткие амислотные последовательности, они используются в качестве терапии или в качестве питательных веществ для клетки, чтобы поддерживать молодость.
[17:05 - 17:10]  Так, продолжаем, да, это же определение.
[17:11 - 17:14]  Пептидная связь как образуется, между какими частями?
[17:15 - 17:17]  Запятую делайте.
[17:17 - 17:20]  Между, не, давайте не между.
[17:25 - 17:35]  Между, да, между карбоксинной группой одной аминокислоты.
[17:35 - 17:42]  То есть связь между карбоксинной группой одной аминокислоты и аминогруппой следующей.
[17:46 - 17:50]  Между карбоксинной группой одной аминокислоты.
[17:52 - 17:57]  Можно словами карбоксинную-то не писать, но она карбоксинная, СОУАШ.
[17:58 - 18:00]  Поймем, что это карбоксинная.
[18:00 - 18:01]  Ты же подписал.
[18:01 - 18:03]  Это же сразу карбоксинная.
[18:04 - 18:07]  Запомнил, запомнил, что надо.
[18:07 - 18:08]  Я не на группу следующей.
[18:09 - 18:14]  Я не на группу следующей.
[18:15 - 18:17]  Пептидная связь у вас на слайде показана.
[18:25 - 18:29]  Что далее?
[18:29 - 18:33]  Смотрите, по классификации.
[18:34 - 18:38]  Имя вот этого полипептида, да, название.
[18:39 - 18:41]  Есть еще другие, например, говорят, протеины.
[18:41 - 18:45]  Если мы говорим о спортивном питании,
[18:45 - 18:46]  Можно, конечно.
[18:48 - 18:55]  Если мы говорим о спортивном питании или, например, о каких-то батончиках, иногда говорят протеиновые.
[18:58 - 19:08]  Что это? Это простые аминокислотные последователи, без добавок, без других соединений, без других органических соединений.
[19:08 - 19:16]  Я сейчас вас в углы поставлю, будете стоять у меня две пары подряд.
[19:18 - 19:24]  Если, извиняюсь, в одном месте детство играет, надо поддержать, да?
[19:26 - 19:28]  Идем далее.
[19:30 - 19:36]  И еще есть название, и это тоже сложные белки уже, протеиды.
[19:36 - 19:41]  Когда у вас соединение есть, помимо аминокислотной последовательности,
[19:41 - 19:45]  есть, например, молекулы гипида, вот липопротеиды.
[19:45 - 19:50]  Если у вас есть молекулы гливода, гликопротеиды.
[19:51 - 19:56]  Если у вас есть и гливод, и глипид, гликопротеиды.
[19:56 - 19:58]  Например, клеточная стенка микобактерий.
[20:00 - 20:02]  Там вот такие сложные соединения.
[20:03 - 20:04]  То есть разные могут быть.
[20:04 - 20:06]  И все, это белки.
[20:08 - 20:09]  Но что интересное?
[20:11 - 20:13]  Интересной нам будет на самом деле структура.
[20:14 - 20:18]  У белков есть первичная, вторичная, третичная и четвертичная структура.
[20:19 - 20:25]  По химизму, по составу, как говорят, аминокислот одно и то же, а по форме разное.
[20:27 - 20:29]  Это вот как раз интересно.
[20:30 - 20:33]  Итак, вы пишете структуру белка.
[20:33 - 20:38]  Ну, очевидно, тут про пространство будет речь, да?
[20:39 - 20:44]  Иногда говорят информация еще, если в научной литературе.
[20:47 - 20:54]  Итак, первичная структура, у вас они там как-то показаны, видим, да?
[20:54 - 20:56]  То есть, в цифракадемии пишите первичное.
[20:57 - 20:58]  Что это такое?
[20:58 - 21:02]  Первичная структура – это простая полипептидная цепь.
[21:04 - 21:04]  Простая.
[21:04 - 21:08]  Скоро, что пишите в адектовку, простая полипептидная цепь.
[21:10 - 21:12]  Там пептидная цепь тоже показана.
[21:12 - 21:18]  То есть, простая цепочка, аминокислотная последовательность – это первичная структура ВК.
[21:19 - 21:21]  Полипептидная цепь.
[21:25 - 21:30]  Представьте, вот эта полиэффективная цепь – это как будто волокно.
[21:30 - 21:34]  Вы выделили волокно, ровное, да?
[21:34 - 21:39]  Дальше вы хотите из этого волокна спрятать нить.
[21:39 - 21:45]  Вы начинаете сворачивать, сворачивать, сворачивать, сворачивать.
[21:45 - 21:48]  Свернуть можно, соответственно, во вторичную структуру.
[21:48 - 21:57]  Вторичная структура может быть двух вариантов, у вас один вариант написан, спираль только.
[21:57 - 22:00]  Кстати, еще раз, вы волокно свернули в спираль.
[22:01 - 22:10]  Все бы хорошо, но для того, чтобы у вас структура сохранилась, нужно, чтобы были связи между рывками спиралей.
[22:11 - 22:13]  И здесь образуются водородные связи.
[22:14 - 22:21]  Пишите, соответственно, вторичная структура – это спираль, образованная пептидными и водородными связями.
[22:22 - 22:33]  Вторичная структура – это спираль, образованная пептидными и водородными связями.
[22:33 - 22:34]  Вот она, видите?
[22:35 - 22:43]  И между витками там показаны красными штрихами водородная сеть и водородный цвет.
[22:44 - 22:46]  Вот у вас получилась как будто нитка.
[22:47 - 22:52]  Дальше вы эту нитку начинаете сворачивать в лобок в разных направлениях.
[22:54 - 22:57]  И у вас получается глобула.
[22:58 - 23:01]  Это у нас четвертичная, патриотичная, извиняюсь, структура белка.
[23:02 - 23:07]  Это трехмерная пространственная упаковка молекул белка.
[23:07 - 23:15]  Пишите критичное, трехмерное, пространственное упаковка молекулы белка.
[23:18 - 23:22]  Глобул, конечно, у них странно показано, как колечко, но это неправильно.
[23:25 - 23:26]  Упаковка молекулы белка.
[23:28 - 23:29]  Она реально вот так нахручена.
[23:29 - 23:36]  Или как будто вы ее взяли, извиняюсь, в комокку, ну в бумагу, да, и смяли комочек.
[23:37 - 23:47]  У вас здесь на слайде показано глобул с активным центром из железа.
[23:47 - 24:03]  Для чего это показано? Дело в том, что когда несколько глобул, а в частности четыре глобул соединяются такие с железом в центре, то образуется у нас гемоглобин.
[24:04 - 24:15]  И вот это четвертичная структура горка. Пишется четвертичная структура. Что это такое? Это несколько глобул связанных между собой.
[24:15 - 24:20]  Несколько глупых связанных между собой
[24:20 - 24:33]  То есть вы получаете вот волокно
[24:33 - 24:35]  Сначала свернули нить и образовали
[24:35 - 24:36]  Потом нитку накрутили
[24:36 - 24:38]  Соответственно образовался у вас клубок
[24:38 - 24:41]  А потом эти клубки соединили между собой
[24:41 - 24:51]  Важно понимать
[24:51 - 24:53]  Вы смотрите, по аминокислотному составу одинаковые
[24:53 - 24:57]  Что первичная, что четвертичная структура
[24:57 - 25:00]  Одни и те же аминокислоты
[25:00 - 25:01]  Форма разная
[25:01 - 25:03]  То еще нужно знать
[25:03 - 25:07]  Что критичная структура, она видоспецифична
[25:07 - 25:13]  То есть, вот этот комок, извиняюсь, белковый, в зависимости от вида, будет свой.
[25:15 - 25:21]  Можно отличить гемоглобин, глобул гемоглобин выше человека.
[25:24 - 25:25]  Это можно посмотреть.
[25:26 - 25:27]  Что еще важно?
[25:28 - 25:33]  Вот связаны со структурами белка два процесса.
[25:33 - 25:36]  Это денатурация и ренатурация.
[25:37 - 25:39]  Их мы сейчас с вами обсудим, а потом запишем.
[25:39 - 25:46]  Дело в том, что можно, мы про связи нельзя говорили, да?
[25:47 - 25:52]  можно постепенно, разрезая связи, разрушать структуру белка.
[25:53 - 25:55]  Этот процесс называется генакулация.
[25:55 - 25:57]  Разрушение раздеводной структуры белка.
[25:57 - 25:58]  Для чего разрушает?
[25:58 - 25:59]  Энергию получает.
[25:59 - 26:06]  И вы понимаете, что, например, четвертичная структура сначала разрушится до третичной,
[26:06 - 26:09]  третичная потом до вторичной, вторичная до первичной.
[26:10 - 26:16]  И только после этого у вас будет разрушение, расщепление на аминокислоты.
[26:16 - 26:21]  То есть это процесс не одномоментный, а поэтапный.
[26:22 - 26:27]  И энергия у вас будет выделяться тоже поэтапно, дозированно.
[26:27 - 26:35]  Вот в этом смысл получается того, что считается белок более, скажем так, качественным в кавычках,
[26:36 - 26:40]  с точки зрения получения энергии, питательного вещества.
[26:40 - 26:47]  То есть вы получите не сразу энергию, постепенно.
[26:49 - 26:54]  Но при этом, как вы понимаете, что вы успеваете спокойно потратить,
[26:54 - 27:01]  вы не получаете удара на рецепторы.
[27:01 - 27:04]  То есть это все происходит, грубо говоря, постепенно.
[27:04 - 27:09]  И при этом длительно организм получает энергию.
[27:09 - 27:14]  То есть углеводы раз и быстро сгорел, и все, и голодненький.
[27:15 - 27:19]  С точки зрения того, что комплекты не получают питательное вещество, то же самое.
[27:21 - 27:39]  Но, смотрите, если у вас первичная структура белка не разрушена в клетке, то есть есть аминокислотная последовательность полипетич, то клетка сама способна восстановить все структуры белка.
[27:39 - 27:41]  То есть от первичных до четверти.
[27:42 - 27:43]  Чему это?
[27:43 - 27:51]  Потому что в некоторых случаях клетка может свои собственные белки использовать как источник энергии.
[27:51 - 28:01]  Если не разрушит, получается, до аминокислот, клетка восстановит.
[28:02 - 28:03]  Понимаем, о чем речь?
[28:04 - 28:05]  Туда-сюда, туда-сюда.
[28:05 - 28:08]  То есть, представьте, смысл какой?
[28:08 - 28:18]  По химическому процессу точно так же, как производство сублимированного кофе или, например, лапши быстрого приготовления.
[28:19 - 28:25]  На производстве у вас разрезали святель, там водородная, да, вода, сушили.
[28:25 - 28:46]  То есть кофе сублимированный, это, по сути, что? Кофе должно сварить, потом вот этот напиток высушить и получить, ну, формировать грабулы, да, потом мы дома в чашечку положили, в кладовик заварили и получили кофе.
[28:47 - 28:51]  Но это не раствариваемый, это сублимированный кофе. Кофе сваренный уже один раз.
[28:52 - 28:54]  А, сублимированный, без влаги.
[28:54 - 28:56]  По сути, это технология именно такая.
[28:57 - 29:00]  А если мы говорим о, получается, лапше, то же самое.
[29:00 - 29:01]  То есть она как бы сухое молоко.
[29:02 - 29:05]  То же самое, да, то есть сублимированное.
[29:05 - 29:08]  Вы водородные связи убрали, все порезали, сложили.
[29:08 - 29:11]  Вы когда завариваете, вы эти водородные связи просто устанавливаете.
[29:12 - 29:13]  У вас и получается продукт.
[29:13 - 29:15]  Это даже очень сублимировано.
[29:15 - 29:17]  Так, пишем процесс.
[29:18 - 29:41]  Денатурация – это трение природных структур белка.
[29:47 - 30:01]  У вас на слайде показано, что разрушать природную структуру можно разными способами, например, температурой или химическими соединениями.
[30:01 - 30:10]  Температуру понимаем, о чем яйцо сварили, птичный белоколь, сверненький.
[30:12 - 30:15]  Да, все разрушено, ренатурация произошла.
[30:16 - 30:21]  А ренатурация это что такое? Ренатурация это обратный процесс.
[30:22 - 30:24]  Ренатурация это обратный процесс.
[30:24 - 30:29]  Еще раз обращаем внимание, ренатурация возможна только от первичной структуры.
[30:30 - 30:35]  То есть если у вас аминокислота, аминокислота уже разрушена, то там только биосинтез, ренатурация не пойдет.
[30:36 - 30:38]  Нужно заново собираться.
[30:38 - 30:46]  Вы пишете со слайда, пожалуйста, ладно?
[30:47 - 30:49]  Слайда показана в углу.
[30:51 - 30:52]  Спасибо.
[30:53 - 30:54]  8 функций.
[30:54 - 30:55]  Ого.
[30:55 - 31:09]  Если по углеводам и липидам вам просто выборочно написали, не все функции, если на самом деле.
[31:11 - 31:19]  Фермент это регуляторная на самом деле функция.
[31:19 - 31:23]  То есть, смотрите, у вас все процессы внутри организма идут в присутствие ферментов.
[31:23 - 31:26]  Все обменные процессы в присутствие ферментов.
[31:27 - 31:29]  Они запускают, они, соответственно, регулируют.
[31:30 - 31:34]  Даже, получается, ДНК развернуть во внутренний фермент рецептаза.
[31:36 - 31:38]  По-другому никак.
[31:40 - 31:43]  Защитное, там показаны антитела, токсинные, хитроциды.
[31:43 - 31:46]  Антитела, значит, это у нас адаптивный иммунитет.
[31:47 - 31:52]  Токсины, это первичный ответ, да, к правилам, рожденный иммунитет, соответственно.
[31:53 - 31:57]  Фитонциды – это то, что относится к иммунной системе растений.
[31:57 - 32:01]  У растений тоже есть своя иммунная система, просто она устроена по-другому.
[32:05 - 32:14]  Сигнальные – это терамоны, и на этом построена, например, индустрия парфюма.
[32:15 - 32:24]  То есть на самом деле в парфюме у вас не какие-то не органические сигнения, а органические молекулы.
[32:24 - 32:50]  Это не всегда вытяжки и масла. Это может быть искусственно созданная молекула белка. Какой-нибудь пермой, чтобы весь всем нравился. Далее двигательная миозиновая активная нития. Это как раз у нас мышечная ткань. Это может быть красительные белки в основании сничек.
[32:52 - 32:58]  Транспортное – это, например, гемоглобин, перенос кислорода в организме.
[32:58 - 33:03]  Структурное – белки вибраны, мы с вами говорили, что там вибраны есть белки.
[33:04 - 33:07]  Энергетическое – 17,6 кГц.
[33:07 - 33:12]  Выделяется приоритет расщепления одного грамма белков, мы с вами обсуждаем.
[33:12 - 33:13]  И есть запасающие.
[33:14 - 33:16]  Вот это, например, пишут «соя».
[33:16 - 33:21]  Да, у сои получается запас питательных веществ в виде белков.
[33:21 - 33:25]  Белков растительных, да?
[33:25 - 33:38]  То, что у нас добавляют, соответственно, в полуфабрикаты мясные сою, теоретически ничего плохого бы на нет.
[33:39 - 33:43]  Вопрос в том, обманывает вас производитель или нет.
[33:44 - 33:45]  То есть сколько он сюда добавил?
[33:45 - 33:50]  Ну, грубо говоря, не соевый ли это вообще продукт в обвене, там, запаха говядинки.
[33:53 - 33:56]  То есть сколько там реально животных белков, сколько там растительных белков.
[33:58 - 34:01]  И так есть еще белок козьи и молока.
[34:02 - 34:02]  Жир?
[34:02 - 34:04]  Козьи и молока.
[34:04 - 34:05]  Измените молочного жира.
[34:05 - 34:52]  Это не жир, это белок именно, в молоке есть белок, не в ультрапостерилизованном естественно, в ультрапостерилизованном там вообще практически ничего нет, но при термической обработке у вас белок разрушается, дентурируется, еще раз обратите внимание, все органические соединения структурная функция, все органические соединения аналитическая функция и все органические соединения в той или иной степени это запас веществ.
[34:52 - 35:11]  Дальше у нас будет муклеиновая кислота, запишите их, муклеиновая кислота, ЛНК, РНК.
[35:16 - 35:18]  Да, очень быстренько.
[35:24 - 35:26]  Магодменных процессов еще не нашли.
[35:27 - 35:30]  Заготовки идем.
[35:31 - 35:35]  Все записали, муклеиновая кислота?
[35:35 - 35:35]  Да.
[35:35 - 35:36]  Можем перегаснуть?
[35:38 - 35:41]  Муклеиновая кислота.
[35:43 - 35:46]  Запишите заголовок муклеиновой кислоты и давайте пока разберемся, да,
[35:47 - 35:53]  что вы знаете о ЛНК и РНК, что такое муклеиновая кислота, из чего они состоят,
[35:53 - 35:55]  и, соответственно, чем ДНК и РНК отличаются.
[35:58 - 36:04]  Представляем нуклиновые кислоты.
[36:06 - 36:23]  Вращая, я вам давала менять связи, восстанавливайте, у вас в мозгу и радиация идет.
[36:23 - 36:30]  Вы сразу вспоминаете потом, пока надо было перебеснуть, я перебеснула и посмотрела.
[36:31 - 36:38]  Оказалось, что нуклиновые кислоты состоят из нуклеотидов.
[36:38 - 36:46]  Уклиновые кислоты
[36:46 - 36:49]  Это биологические полимеры
[36:49 - 36:50]  Образованные
[36:50 - 36:51]  Нуклеотидами
[36:51 - 36:56]  Так, определение не пишем
[36:56 - 36:57]  Сами формулируйте
[36:57 - 37:01]  Соответственно, нам нужно вспомнить
[37:01 - 37:03]  Один нуклеотид
[37:03 - 37:06]  Это что? Чего он состоит?
[37:06 - 37:09]  У вас здесь выглядит показан нуклеотид
[37:09 - 37:11]  ДНК с аденином
[37:11 - 37:13]  А я вам предлагаю вот такой вариант
[37:13 - 37:15]  В школьной программе
[37:15 - 37:17]  Вы обычно примерно такой же и указываете
[37:17 - 37:23]  Пишите, соответственно, нуклеотид
[37:23 - 37:27]  Прямоугольник, пятиугольник, круг
[37:27 - 37:39]  Дальше схема прямоугольник, пятиугольник, круг
[37:39 - 37:52]  У меня, конечно, не очень там красиво и правильно
[37:52 - 37:54]  Но суть такая, да?
[37:56 - 38:00]  Все нуклеотиды состоят из азотического основания
[38:00 - 38:01]  Это прямоугольничка
[38:01 - 38:06]  Пятиатомного углевода, пентозы
[38:06 - 38:12]  И гружочек это остаток фосфорной кислоты
[38:12 - 38:14]  Или иногда говорят фосфатная группа
[38:14 - 38:18]  Пинтоза
[38:18 - 38:22]  1, 2, 3, 4, 5
[38:22 - 38:25]  Фосфорная фосфорная
[38:25 - 38:28]  Азотистая основания
[38:28 - 38:33]  Подеритесь еще там
[38:33 - 38:37]  Можно, но недолго
[38:37 - 38:41]  И с последствиями
[38:41 - 38:48]  Пока я добегу до учебной части
[38:48 - 38:52]  Отсюда далеко?
[38:52 - 38:53]  Нету недалеко
[38:53 - 38:55]  Это парусикл
[38:55 - 39:05]  на втором этаже
[39:05 - 39:06]  на третьем
[39:06 - 39:10]  нарисовали, да?
[39:11 - 39:12]  теперь давайте разбираться
[39:12 - 39:14]  вот смотрите, во первых
[39:14 - 39:17]  у нас нуклеотиды есть, да?
[39:17 - 39:20]  нуклеотиды у нас соединяются между собой
[39:20 - 39:22]  через положение
[39:22 - 39:24]  утиатомного углевода, через пентозу
[39:24 - 39:26]  через три шпи
[39:26 - 39:38]  вот здесь через два у нас
[39:38 - 39:40]  азотистые основания, через четыре
[39:40 - 39:41]  И у нас идет фосфатная группа
[39:41 - 39:43]  То есть, понимаем, вот этот пятиугольничек
[39:43 - 39:45]  Он поворачивается
[39:45 - 39:46]  А один тогда что?
[39:46 - 39:47]  А один идет
[39:47 - 39:49]  Там ничего нет
[39:49 - 39:51]  То есть, оно просто существует
[39:51 - 39:53]  Еще раз
[39:53 - 39:55]  Связь у нас получается между
[39:55 - 39:58]  Амплиотидами через 3, 4, 5, 4
[39:58 - 40:01]  К второму положению присоединяется
[40:01 - 40:02]  Азотистое основание
[40:02 - 40:04]  К четвертому положению фосфатная группа
[40:04 - 40:07]  И дальше
[40:07 - 40:10]  Нам нужно разобраться
