[00:02 - 00:08]  Формирование политической карты.
[29:58 - 30:08]  его ребенок или какие-то родственные, вот это вот, добровольные еще срачи,
[30:10 - 30:18]  как дань, существовало очень долго, потому что залогом являлись родственники,
[30:18 - 31:03]  Продолжение следует...
[31:03 - 31:07]  Если это даже и так, никогда никто не скажет правду.
[31:11 - 31:18]  Следующая, вторая графа или второй столбик.
[31:19 - 31:44]  Образование государства захватывает большие массивы суши,
[31:52 - 31:55]  стремление к территориальным захватам,
[31:56 - 32:10]  стремление к территориальным захватам на мнение государства.
[32:10 - 33:10]  Ваши область, История, Центрия, Священная Римская империя, Португалия, Испания.
[33:18 - 33:29]  Так, мы с вами напишем на следующий неделю домашнее задание.
[33:29 - 35:37]  Субтитры делал DimaTorzok
[35:37 - 35:44]  Слышал будильник? Я сделал.
[35:44 - 35:45]  Нет, не слышал.
[35:46 - 35:49]  Слышал свою мать? Я сделал.
[35:52 - 35:55]  Вроде что такого.
[35:59 - 36:01]  Нет, твою мать.
[36:06 - 36:06]  Болевая.
[36:37 - 37:27]  Там человека поймали, когда он тебе был.
[38:42 - 41:03]  Попец.
[41:04 - 41:06]  Ну немного ошибся, бывает.
[41:07 - 41:09]  Да, перепутал.
[41:09 - 41:18]  Ты глупыш, наоборот.
[41:18 - 41:20]  Я этот свою с твоей перепутал.
[41:21 - 41:25]  Я свою с твоей перепутал и появился оттуда.
[41:28 - 41:32]  Не знаю, тупо прозвучал, да.
[41:32 - 41:35]  Хочу что-то оригинальное придумать, какое-нибудь оригинальное.
[41:35 - 41:40]  Ты типа хотел вывести свою семью, но вывести случайно мою?
[41:41 - 41:43]  Не, не, не, не, не, не.
[41:43 - 41:45]  Вообще-то не должна была быть ошибка.
[41:46 - 41:49]  Ну это тупо звучит, да, я соглашусь.
[41:51 - 41:52]  Просчитался, но где?
[41:54 - 41:57]  Одного шутка не тратится.
[41:58 - 42:01]  Какие-то великие цитаты Степхана.
[42:01 - 42:02]  Да, Папича.
[42:03 - 42:05]  У Папича по величию.
[42:06 - 42:06]  Ну, блядь.
[42:06 - 42:07]  По величию.
[42:07 - 42:08]  По величию.
[42:09 - 42:10]  По велике.
[42:10 - 42:11]  По величию.
[42:12 - 42:15]  По величию, это хуй его, блядь.
[42:16 - 42:17]  По велике.
[42:18 - 42:19]  По велине.
[42:20 - 42:21]  Тут не может быть.
[42:23 - 42:26]  Тут у нас тоже не может быть.
[42:27 - 42:28]  Вот, значит, тут.
[42:29 - 42:30]  Тут они.
[42:31 - 42:33]  Еще две.
[42:33 - 42:38]  Кстати, видел, что у Шатлая мама не умерла?
[42:38 - 42:40]  Да.
[42:40 - 42:42]  Видел.
[42:42 - 42:46]  Повезло ей.
[42:46 - 42:47]  Тоже, как я вижу.
[42:47 - 42:53]  Лишнее было.
[42:53 - 43:01]  Ты обучишься налево поворачивать, ой, направо поворачивать.
[43:01 - 43:03]  Ну и ладно.
[43:03 - 43:04]  Ладно, давай.
[43:04 - 43:05]  Вообще сам там лет.
[43:05 - 43:08]  Да, я знаю.
[43:08 - 43:09]  Прощай.
