[00:00 - 00:00]  Просите.
[22:21 - 22:24]  Писали мы на Москворечье.
[22:25 - 22:31]  Так, кавычки закрываются. Открыл мир купечества, мещанства, чиновничества.
[22:31 - 22:33]  Это уже мы не писали, в принципе, да?
[22:33 - 22:37]  Да, это можно в принципе не писать, мы уже это не писали.
[22:38 - 22:44]  Так, ладно. История создания «Гроза». Пишем. История создания драмы «Гроза».
[22:44 - 22:47]  История создания драмы «Гроза».
[22:47 - 22:58]  История создания драмы «Гроза».
[23:07 - 23:23]  Я вам расскажу. Драма «Гроза» была написана в 1859 году.
[23:23 - 23:27]  Очень быстро она была написана. Начата была она в июле.
[23:28 - 23:30]  Закончена была в октябре.
[23:30 - 23:35]  Такой коронавирусный срок он успел писать.
[23:35 - 23:36]  Сейчас, ладно, буквально 5 минут.
[23:37 - 23:37]  Ладно.
[23:41 - 23:44]  В 1859 году.
[23:44 - 23:51]  Начал он в июле, закончил в октябре, в 1860-м году.
[23:52 - 23:59]  А премьера состоялась в малом театре 16-го ноября, в 1859-м году.
[23:59 - 24:04]  А на самом тело я остановилась.
[24:04 - 24:07]  А на самом тело я остановилась.
[24:09 - 24:11]  Ничего я сделать не мог.
[24:11 - 24:12]  А он, блядь, как ты нашел.
[24:12 - 24:13]  Ничего я его убедил.
[24:13 - 24:17]  Машину уже не остановить.
[24:17 - 24:25]  Мимо тебя еще не актуалит?
[24:26 - 24:28]  Ммм.
[24:28 - 24:35]  Ты его слышишь вообще?
[24:47 - 24:51]  Я так прокомментировал соседей, чтобы он подумал,
[24:51 - 25:26]  Субтитры делал DimaTorzok
[25:26 - 25:32]  Дальнее впечатление Островского в поездке по Болге в 1656 году.
[25:33 - 25:35]  Он поехал на поездку по Болге.
[25:36 - 25:44]  Смотрите, у Островского, когда он был маленький, его воспитывал грёстный отец.
[25:44 - 25:47]  Грёстный отец у него был мореплавателем.
[25:47 - 25:51]  Он привел не только чтение книг, а и тягу его на неё.
[25:53 - 25:59]  Островский тоже любил путешествовать, посещать разные места.
[25:59 - 26:07]  И вот когда он решил поехать изучить быт народа в Павловске, он участвовал в экспедиции.
[26:08 - 26:17]  Очень несколько приморских городов спорили, какой из городов стал прототипом города Калинова.
[26:17 - 26:24]  Там описывается город Калинов, и они спорили, какой город описывает Островский.
[26:24 - 26:29]  Самая известная история – Костромская.
[26:29 - 26:40]  Жители Костромы рассказывали о кубеческой жене Александре Крульковой, которая завела роман с почтовым служащим.
[26:40 - 26:55]  Синья напомнила картину, нарисованную Островским. Добрый, но слабовольный муж с суровой деспотичной свекрой. Не выдержав домашнего гнета, Александра узорвилась в Волге.
[26:55 - 27:12]  Был шумный судебный процесс. Эти события так совпадали с сюжетом «Грозу», что в рамки актера на первом представлении гримировались под Клыковых. Они думали, за основу семья Клыковых была взята.
[27:12 - 27:22]  Однако потом выяснилось, что драма была закончена за месяц этого происшествия. Так что это не прямая копия, а скорее совпадение.
[27:23 - 27:27]  Островский переработал свои впечатления в художественных произведений, понятно?
[27:28 - 27:34]  Значит, эта история, кто читал Островского «Гроза» произведение, читали его в школе?
[27:34 - 27:35]  Не знаю.
[27:36 - 27:38]  Нужно будет познакомиться.
[27:38 - 27:42]  Смотрите, до четверга времени мало, то и в среда.
[27:42 - 27:44]  Сегодня вы придете все уставшие.
[27:44 - 27:47]  Какой там Островский с тем творениями наизусть?
[27:47 - 27:49]  Вы просто спать ляжете.
[27:49 - 27:53]  Да, пожалуйста, спать.
[27:53 - 27:57]  А мне готовится завтра, у меня учителя начальных классов приходит.
[27:57 - 27:59]  Я от них девочку готовлю.
[27:59 - 28:01]  Значит, смотрите, что значит.
[28:01 - 28:04]  Вам хотя бы у классовского нужно будет, конечно,
[28:04 - 28:08]  если в идеале, если в оригинале прочитаете, вообще супер.
[28:09 - 28:11]  Но если вы в оригинале не успеете прочитать,
[28:11 - 28:14]  хотя бы графское соблюдание по главам прочитаете.
[28:14 - 28:14]  Понятно?
[28:15 - 28:15]  Да, по большому.
[28:16 - 28:16]  А?
[28:16 - 28:17]  По большому.
[28:17 - 28:18]  Ну, достаточно.
[28:18 - 28:21]  Там примерно около 40-45 конец.
[28:21 - 28:24]  Просто там она написана, как висит пьесы.
[28:24 - 28:28]  Там написано «Действующие лица и идут ревни».
[28:28 - 28:28]  Понятно?
[28:30 - 28:34]  Так, если вы прочитаете в оригинале «Вообщество Клыкова».
[28:34 - 28:38]  Смотрите, это история Пыта Островского.
[28:38 - 28:39]  Чему она учится?
[28:40 - 28:43]  Это вообще реальная жизнь отражается в искусстве.
[28:43 - 28:46]  Островский не просто списывал историю Клыковой.
[28:46 - 28:50]  Он создал обобщенный образ Мишчемещанства и дворянства.
[28:50 - 28:59]  Слушайте меня, мужик первый, который открытый, который начал как двояне, жить открытым текстом.
[28:59 - 29:07]  И его пьесы это не про одну женщину, а про тысячи женщин, которые оказались в такой же ситуации.
[29:08 - 29:12]  Искусство помогает нам видеть типичное единичное. Понятно?
[29:12 - 29:20]  Вот две вопросы. Я вам рассказала, давайте обобщим. В каком году была написана гроза?
[29:22 - 29:27]  Я не знаю, я не знаю. 26.
[29:27 - 29:28]  26 лет.
[29:28 - 29:29]  36 лет.
[29:29 - 29:30]  36 лет.
[29:31 - 29:35]  Какое реальное событие векло в основу сюжета?
[29:41 - 29:48]  История от Чихи, да?
[29:49 - 29:54]  Александра Клыкова, которая утопилась в Волге и загнёт в свекрови, да?
[29:55 - 29:59]  Почему это не прямая копия реального события, как вы думаете?
[30:00 - 30:03]  На месяц, потому что...
[30:03 - 30:03]  Да.
[30:03 - 30:04]  Это не только.
[30:04 - 30:04]  Ваши на месте.
[30:04 - 30:05]  Да.
[30:05 - 30:11]  Это просто использовав меня от поездки по Волге
[30:11 - 30:13]  и наблюдения за купеческим бытом.
[30:14 - 30:16]  Записали историю создания грозы.
[30:16 - 30:17]  Записываем теперь.
[30:18 - 30:19]  В виде тезиса.
[30:19 - 30:22]  Написано в 1859 году.
[30:22 - 30:23]  Записали дань.
[30:24 - 30:27]  Написано в 1859 году.
[30:27 - 30:28]  Кто написал, не пишите тогда.
[30:30 - 30:30]  Начато в июле.
[30:30 - 30:31]  Как он был?
[30:31 - 30:32]  В 1859.
[30:32 - 30:33]  Июля.
[30:33 - 30:34]  В 1859.
[30:34 - 30:35]  В 1859.
[30:36 - 30:41]  Значит, в июне цель-то закончена в октябре.
[30:44 - 30:46]  Дальше, тире.
[30:46 - 30:48]  Премьера 16 ноября.
[30:50 - 30:53]  Премьера 16 ноября.
[30:54 - 31:06]  Премьера 16 ноября 1859 года в Малом театре.
[31:09 - 31:18]  Премьера 16 ноября 1859 года в Малом театре.
[31:18 - 32:00]  Тире, снова строчка, в основе, тире, впечатление от поездки по Волге, впечатление от поездки по Волге, впечатление от поездки по Волге, в 1856 год, открываем, тире, новая строчка, прототип, стати, тире, Бузоров,
[32:00 - 33:42]  Я, кстати, сегодня с Тихоном играл.
[33:42 - 33:45]  У меня еще такой обкуренный голос был.
[33:46 - 33:50]  Но ведь КС-ку играл, короче, так под Туки Клэйфом.
[33:50 - 33:55]  Друзья, мы плохо играли, любите.
[33:55 - 33:59]  Половинку я не услышал, что-то.
[33:59 - 34:02]  Я говорю, я сегодня играл в КС-2, привет.
[34:02 - 34:07]  Ты потише можешь?
[34:07 - 34:09]  Спасибо.
[34:09 - 34:17]  Ума-миха, она была очень властная женщина, считала, что она всё знает.
[34:17 - 34:22]  Она верила в Бога, и она всегда получала своих детей.
[34:22 - 34:26]  Очень была такая, как бы, властная женщина.
[34:26 - 34:29]  Ее только слово было последним.
[34:30 - 34:35]  В этой кабанике был Сихон женился на Катерине.
[34:35 - 34:41]  Этим гнетом Сихон поперет своей мать и ничего сказать не мог.
[34:42 - 34:52]  Катерина выросла в достаточно хорошей семье, где она в любящей семье выросла.
[34:52 - 34:56]  И попадает она в такую семью, где там тотальный контроль.
[34:56 - 34:59]  Где слово последнее только за свекровью.
[34:59 - 35:02]  А Сихон всегда молчит, слабохарактерный человек.
[35:04 - 35:09]  Соответственно, Катерине очень тяжело и тяжело жить в этой семье.
[35:10 - 35:20]  Она, когда тихо собирается в командировку уезжать, Катерина говорит, забери меня с собой, мне тяжело здесь, я не могу, мне тяжело здесь жить.
[35:20 - 35:25]  Я вам просто поверхностно рассказываю, потому что все подряд я вам рассказывать не могу.
[35:25 - 35:37]  Он говорит, нет, реагирует на просьбы и умиление жены несерьезно, он уезжает, а жена начинает изменять его с другим человеком.
[35:37 - 35:43]  Борис это человек, который был племянником Дикого.
[35:43 - 35:45]  Там еще есть Дикой.
[35:45 - 35:53]  Дикой это купец, который получил наследство от своих родственников.
[35:53 - 36:08]  И эти родственники умирают и пишут завещание, что Дикой может передать наследство их детям, дочке и сыну, это Борису и девочке, только в том случае, если они будут слушаться Дикого.
[36:08 - 36:19]  Дикой он себя ведет некрасиво, рассказывает разные некрасивые слова, обзывает, называет тупицей, дуракой.
[36:19 - 36:30]  Ну, как самодург, который ведет, имеет власть, которого заносят по всем фронтам.
[36:31 - 36:34]  И, соответственно, что происходит? Борис тоже.
[36:35 - 36:39]  Катерина остановилась. Катерина, исходя из этой обстановки, что делает?
[36:40 - 36:58]  Что она делает? Она накладывает на себя волки, она идет на волку, и вот здесь запишите жанровое своеобразие,
[36:58 - 37:13]  жанровое своеобразие, не жанр грозы, просто напишите, жанровое своеобразие, кавычка, грозы.
[37:16 - 37:21]  С вами обсудить, что это, что за пьесы, это драма или трагедия?
[37:22 - 37:22]  Драма.
[37:22 - 37:23]  Вы знаете, краткое содержание.
[37:24 - 37:28]  Телефон я вам все, вот, замечающих по подробностям не писал.
[37:28 - 37:29]  Драма.
[37:29 - 37:30]  Драма.
[37:30 - 37:32]  Почему это драма, вы считаете?
[37:33 - 37:35]  Чем отличается трагедия от драмы?
[37:35 - 37:40]  Трагедия обычно происходит что-либо, когда человек умирает, и потом погибли в грустях.
[37:40 - 37:41]  Так, трагедия, да, это?
[37:42 - 37:47]  Это трагедия, а в драме чаще всего умирает человек, либо в грустях.
[37:47 - 38:49]  Пишем драма, это произведение, драма произведения, где конфликт происходит между людьми, точка, драма произведения, где конфликт происходит между людьми, точка, может погибнуть, пишем, герой может погибнуть, погибнуть, но это не обязательно, запятая, но это не обязательно.
[38:50 - 39:05]  В произведении конфликт между людьми. Герой может погибнуть, но это не обязательно.
[39:06 - 39:10]  Пишем, что такое трагедия. Трагедия точно умирают.
[39:10 - 39:48]  Трагедия это произведение, где герой вступает в конфликт с судьбой, запитаясь, с мировым порядком.
[39:48 - 39:52]  С мировым порядком
[39:52 - 40:03]  Трагедия, конфликт судьбой
[40:03 - 40:05]  С мировым порядком
[40:05 - 40:06]  Точек поставили?
[40:07 - 40:09]  Такой, как садки
[40:09 - 40:14]  Трагедия всегда заканчивается гибелью героя
[40:14 - 40:17]  Трагедия всегда заканчивается
[40:17 - 40:18]  Новое предложение
[40:18 - 40:20]  Трагедия всегда заканчивается
[40:20 - 40:29]  Кому случишь?
[40:30 - 40:31]  Твердочек
[40:31 - 40:32]  Твердочек есть
[40:32 - 40:36]  К остановке, да?
[40:36 - 40:37]  К остановке?
[40:37 - 40:38]  Нет, там еще есть
[40:38 - 40:42]  Ааа, у него цырит, там, цырит
[40:42 - 40:44]  Опа, отсечивается
[40:44 - 40:45]  Чё сняли, садом?
[40:45 - 40:46]  Да
[40:46 - 40:47]  Фонарик
[40:47 - 40:49]  Я так его не знаю
[40:49 - 40:51]  Это фактически что-то у него
[40:51 - 40:53]  А этот фонарик
[40:53 - 40:56]  Очень не нужный никому
[40:56 - 40:58]  Могу сост подавать
[40:58 - 41:02]  Трагедия всегда заканчивается, не бьют
[41:02 - 41:03]  Трагедия...
[41:03 - 41:05]  Трагедия всегда заканчивается...
[41:05 - 41:10]  Трагедия всегда заканчивается...
[41:14 - 41:16]  Так я тоже анимацию могу увидеть.
[41:27 - 41:29]  Семь минут.
[41:29 - 41:36]  Семь минут.
[41:42 - 41:45]  Оль, смотри, смотри.
[41:45 - 41:48]  Это зубы, тоже могу включать.
[41:50 - 41:54]  Сумсел уровень или разумительный.
[41:54 - 41:56]  Смысл.
[41:56 - 42:24]  Я могу в галерее зайти на фотку, то самое, как ты нужен, да, ух, у меня есть тема, сейчас, сейчас, что за тема, да, да, да.
[42:24 - 42:26]  Назовут хорошее, не надо уменьшать.
[42:27 - 42:28]  Я чуть.
[42:29 - 42:33]  Вы вас отвлекаете, вас сейчас мы уволим вообще, изолируем от нас.
[42:33 - 42:37]  Нам не так хорошо было в составе 34 человек.
[42:38 - 42:40]  Кому это вам надо говорить?
[42:40 - 42:43]  Вы собираетесь просто, уберите свои конкурсы.
[42:46 - 42:55]  Ну, нет, внимательно, современные исследователи считаются разутра 35.
[42:55 - 43:00]  Главный конфликт не внешний, который происходит с Микронью и Стихоном,
[43:01 - 43:04]  А то, что внутренний каждый, то, что она переживает.
[43:05 - 43:15]  А она берущая, и ее измена мужу, это гриб.
[43:15 - 43:17]  Она не может жить с этим грибом.
[43:18 - 43:21]  Вот современные все люди считают, что это трагедия.
[43:21 - 43:22]  Так не надо было изменять.
[43:22 - 43:25]  Вот здесь очень важно, как вы показываете.
[43:25 - 43:26]  Как-то тупо.
[43:29 - 43:30]  Как это тупо.
[43:30 - 43:31]  Ну я ж думаю, Нира.
[43:31 - 43:32]  Изменить.
[43:32 - 43:34]  А потом жалеть об этом.
[43:34 - 43:36]  Здесь, кстати, на такой момент.
[43:37 - 43:43]  Я очень важно их охвалила.
