[00:02 - 00:03]  Русские, где-то, наверное.
[39:59 - 40:00]  Точка с кутой.
[40:00 - 40:03]  Если вот так перечислить, то существует два типа языка.
[40:03 - 40:04]  Двоеточие.
[40:05 - 40:05]  Тире.
[40:06 - 40:08]  Естественное в скобках знаки-признаки.
[40:08 - 40:11]  Тире искусственные. Знаки информанты.
[40:13 - 40:14]  Искусственные.
[40:21 - 40:22]  Знаки чего?
[40:24 - 40:26]  Естественные знаки, признаки.
[40:26 - 40:27]  Искусственные.
[40:28 - 40:30]  Сколько? Знаки информанты.
[40:32 - 40:34]  Информируют о чем-то.
[40:35 - 40:37]  Это мы с вами сейчас обсудим.
[40:38 - 40:44]  Знаки.
[40:45 - 40:51]  Так, знаки информанты.
[40:54 - 40:56]  Сколько закрываем? Точку ставим.
[40:56 - 41:43]  Пишем, искусственные знаки можно заменить, усовершенствовать, так как сами они создаются искусственно.
[41:43 - 42:11]  Сами они создаются искусственно, так как сами они создаются искусственно в соответствии с потребностями практики.
[42:11 - 42:20]  В соответствии с потребностями практики.
[43:01 - 43:07]  Вот так ты хорошо видишь.
[43:35 - 43:59]  Дима, остановились.
[43:59 - 43:59]  Дима, остановились.
[44:04 - 44:07]  Так, точка. Дальше пишем.
[44:07 - 45:29]  Но и естественный язык, но и естественный язык, но и естественный язык, запятая, постоянно развиваясь, но естественный язык, постоянно развиваясь как живой организм, запятая, меняется под влиянием науки, меняется под влиянием науки, запятая, быта, быта, прогресса.
[45:29 - 47:00]  Особенностью естественного языка является избыточность лексики, произвольность, синонимия, полисемия.
[47:02 - 47:08]  Полисемия. Полисемия это многозначность. Поле это переводится много.
[47:11 - 47:14]  Так, ну, значит, что мы там записали, значит.
[47:15 - 47:16]  Так, давайте я объясню.
[47:16 - 47:20]  Язык – это, получается, не просто система, а знаковая система.
[47:20 - 47:20]  Что это значит?
[47:20 - 47:25]  Знак – это что-то, что замещает что-то другое.
[47:25 - 47:31]  Проще говоря, знак – это заместитель реального предмета, явления или понятия.
[47:31 - 47:33]  В мире существует два типа языков, мы записали.
[47:34 - 47:37]  Первый – это у нас естественные, да, знаки-признаки.
[47:37 - 47:40]  Это знаки, которые появились естественным путем.
[47:40 - 47:50]  их не создал человек они прямо связаны с тем на что указано например дым знак того что горит
[47:50 - 47:59]  до суды то горит огонь например стук двигателя что означает знак неисправности например что еще
[47:59 - 48:08]  тучи в небе знак приближаешься но что то что продолжавшиеся дождя приближающего дождя эти
[48:08 - 48:11]  Эти знаки нельзя изменить по желанию человека.
[48:12 - 48:15]  Дым не может обозначить дождь, а туча – пожар.
[48:15 - 48:17]  Они просто указывают на факт.
[48:18 - 48:20]  Искусственные знаки мы записали с вами.
[48:21 - 48:27]  Искусственные знаки – это знаки, которые создал человек специально, чтобы что-то обозначить.
[48:27 - 48:32]  Их можно создавать, изменять, отменять или совершенствовать.
[48:32 - 48:35]  Например, буквы алфавита.
[48:35 - 48:40]  Буква А не похожа на яблоко, но мы договорились, что она будет обозначать звук А, например.
[48:40 - 48:42]  Дорожные знаки.
[48:42 - 48:45]  Красный круг означает что? Запрет.
[48:45 - 48:49]  Мы тоже договорились, что он будет красный круг означать запрет.
[48:50 - 48:54]  Например, математические символы плюс, минус тоже, да, мы так придумали.
[48:55 - 48:58]  Значит, он вот сложение, вычитание равно вот эти знаки.
[48:58 - 49:04]  ноты музыки у нас, да, дором, миф, фасоль, лясь, и там,
[49:04 - 49:08]  да, 7 нот обозначает звуки разной высоты, мы так решили
[49:08 - 49:08]  тоже.
[49:09 - 49:12]  Также и денежные купюры, они знак стоимости.
[49:13 - 49:16]  Искусственные знаки делятся на два типа, символы и
[49:16 - 49:18]  индексы, и собственные знаки.
[49:19 - 49:22]  Символы, это, например, схематичный рисунок кота
[49:22 - 49:23]  на вывеске.
[49:23 - 49:27]  Например, если мы увидим кота на вывеске при входе
[49:27 - 49:34]  магазин то это будет означать скорее всего зону 1 индекс и знак указывает на то что на что-то на
[49:34 - 49:41]  при на регион что-то да местность собственные знаки связь между знаками объектом определяется
[49:41 - 49:47]  договором традиции например слова корова не похожи на животных но мы договорились что это
[49:47 - 50:10]  она вот назовите сами искусственные знаки какие еще знаки есть дорожное движение еще что ну давай
[50:10 - 50:24]  чушь поживее ну смайлики в телефоне учусь смайлики в телефоне и моде логотипы бренд бренды значки на
[50:24 - 50:29]  приборов это все же придуманные людьми искусственные знаки язык это самые
[50:29 - 50:35]  сложные и богатые искусственные знаковая система в ней и слова это знаки для
[50:35 - 50:40]  обозначения понятия есть грамматические правила это способы соединения этих
[50:40 - 50:49]  знаков что еще мы там записали с вами они знаки все менять под влиянием
[50:49 - 50:58]  изменений вообще самой самой жизни уровне жизни науки быт и прогресса примеры изменений на привести
[50:58 - 51:07]  тому назад мы не знали слова компьютер да мы например 20 там она не знали не знали бы назад
[51:07 - 51:16]  20 лет назад слова смайлик ламп лайк и 100 грамм не существовало русском языке появляется заимствование
